"est";"id";"scientificName";"names_wo_author"
"MG";135313;"Effusiella granulosa (Barb.Rodr.) Baptista";"Effusiella granulosa"
"MG";135315;"Effusiella henrique-aragonii (Pabst) Baptista";"Effusiella henrique-aragonii"
"MG";135316;"Effusiella hians (Lindl.) Campacci";"Effusiella hians"
"MG";135342;"Asterinopeltis pulcherrima Bat. & H. Maia";"Asterinopeltis pulcherrima"
"MG";135401;"Polygala densiracemosa Lüdtke & Miotto";"Polygala densiracemosa"
"MG";135409;"Cosmarium creperum West & G.S.West";"Cosmarium creperum"
"MG";135414;"Sporormiella australis (Speg.) S.I. Ahmed & Cain";"Sporormiella australis"
"MG";135420;"Sporormia pentamera Oudem.";"Sporormia pentamera"
"MG";135421;"Desmidium aptogonum Bréb. ex Kütz. var. aptogonum";"Desmidium aptogonum"
"MG";135423;"Asplundia brachyphylla Harling";"Asplundia brachyphylla"
"MG";135424;"Preussia herculea (Ellis & Everh.) Abdullah & Guarro";"Preussia herculea"
"MG";135425;"Syngonanthus heteropeplus (Koern.) Ruhland";"Syngonanthus heteropeplus"
"MG";135426;"Calothyrium distinguendum Bat. & Cavalc.";"Calothyrium distinguendum"
"MG";135427;"Eriotheca saxicola Carv.-Sobr.";"Eriotheca saxicola"
"MG";135428;"Calothyrium goiasense Bat. & Cavalc.";"Calothyrium goiasense"
"MG";135429;"Dorstenia acangatara M.D.M.Vianna, Al.Santos, A.F.P.Machado, Mansano & Romaniuc";"Dorstenia acangatara"
"MG";135473;"Clinopodium vulgare L.";"Clinopodium vulgare"
"MG";135474;"Cuphea mimuloides var. typica Koehne";"Cuphea mimuloides"
"MG";135480;"Clinopodium gracile Benth.";"Clinopodium gracile"
"MG";135483;"Cuphea euphorbioides A.St-Hil.";"Cuphea euphorbioides"
"MG";135488;"Cuphea ingrata var. grandifolia A.St.-Hil";"Cuphea ingrata"
"MG";135495;"Muellera longiunguiculata (MJ.Silva & AMG.Azevedo) MJ.Silva & AMG.Azevedo";"Muellera longiunguiculata"
"MG";135507;"Microlobius foetidus subsp. paraguensis (Benth.)M . Sousa & G. Andrade";"Microlobius foetidus"
"MG";135510;"Abutilon terminale A. St.-Hil.";"Abutilon terminale"
"MG";135515;"Melicoccus oliviformis Kunth";"Melicoccus oliviformis"
"MG";135518;"Melicoccus oliviformis subsp. intermedius (Radlk.) Acev.-Rodr.";"Melicoccus oliviformis"
"MG";135538;"Muellera leptobotrys M.J. Silva & A.M.G. Azevedo";"Muellera leptobotrys"
"MG";135542;"Dahlstedtia araripensis (Benth.) M.J. Silva & A.M.G. Azevedo";"Dahlstedtia araripensis"
"MG";135544;"Cupania macrophylla Mart.";"Cupania macrophylla"
"MG";135562;"Dahlstedtia muehlbergiana (Hassl.) M.J.Silva & A.M.G. Azevedo";"Dahlstedtia muehlbergiana"
